,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
24524,2017-04-10,1074212,32876.88,314364,0.0,0.0,3417.0,83,43,2015,2.0,6.0,0.0
24777,2017-03-30,1055988,229739.94,172183,3.0,2.0,1173.0,41,23,2015,4.0,2.0,0.0
24784,2017-03-29,1055611,269274.69,184234,3.0,2.0,1320.0,49,29,2015,5.0,1.0,1.0
24808,2017-03-29,1070420,478070.23,286836,0.0,0.0,2706.0,49,27,2015,6.0,3.0,0.0
24815,2017-03-29,1072449,11267.31,115800,0.0,0.0,1544.0,49,25,2014,1.0,2.0,0.0
24816,2017-03-29,1070419,159964.09,252000,0.0,0.0,2400.0,49,33,2016,2.0,2.0,0.0
24819,2017-03-29,1055551,80286.27,134156,1.0,1.0,725.0,49,23,2014,6.0,1.0,1.0
24832,2017-03-28,1055978,128930.51,203900,0.0,1.0,570.0,43,18,2015,4.0,1.0,0.0
24871,2017-03-27,1065342,290443.04,108191,3.0,2.0,1196.0,33,27,2016,2.0,4.0,0.0
24889,2017-03-27,1066233,67491.17,127926,2.0,2.0,1123.0,33,29,2016,3.0,2.0,1.0
25132,2017-03-17,1053823,213015.0,184000,3.0,2.0,1090.0,28,11,2014,5.0,3.0,0.0
25175,2017-03-16,1061703,249292.35,128956,2.0,2.0,1010.0,86,34,2015,2.0,3.0,0.0
25181,2017-03-16,1053212,479731.95,488670,0.0,0.0,4654.0,86,40,2016,6.0,1.0,0.0
25233,2017-03-15,1068380,378607.65,267000,3.0,3.0,1547.0,54,47,2016,2.0,1.0,1.0
25324,2017-03-10,1062385,303399.99,143510,2.0,2.0,842.0,29,13,2015,4.0,2.0,1.0
25338,2017-03-10,1062384,210440.96,171710,2.0,2.0,979.0,29,9,2014,7.0,2.0,1.0
25391,2017-03-08,1066179,179419.22,93600,1.0,2.0,741.0,68,41,2016,5.0,1.0,1.0
25404,2017-03-08,1066151,274081.29,143000,4.0,2.0,1846.0,68,50,2016,6.0,1.0,1.0
25432,2017-03-08,1066149,376873.24,316800,2.0,2.0,1030.0,68,52,2016,4.0,3.0,0.0
25433,2017-03-08,1066223,206052.16,153000,2.0,2.0,1036.0,68,44,2016,2.0,1.0,1.0
25480,2017-03-06,1050885,411297.37,201250,2.0,2.0,1520.0,60,2,2008,5.0,5.0,0.0
25497,2017-03-06,1061281,32876.88,314364,0.0,0.0,3417.0,60,38,2015,2.0,6.0,0.0
