,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Status,Sold Amount,Time Sold,Beds,Bath,Living Area,Lot Size,ZEstimate,Docket Count,Day Count,Place in Line,Court Year,Status Binary,Association Binary,Defendant Count,Previous Auctions
928,2020-05-04,1248759,265538.74,83728.00,HIDDEN,Canceled per Order,,,3.0,2.0,1242.0,7500.0,275089,75.0,50,22,2018,0.0,0.0,2.0,1.0
929,2020-05-04,1256979,315610.78,110414.00,HIDDEN,Canceled per Order,,,3.0,1.0,2054.0,7875.0,341392,78.0,50,10,2018,0.0,0.0,4.0,1.0
930,2020-05-04,1256189,309684.04,219600.00,HIDDEN,Canceled per Order,,,3.0,2.0,1420.0,4675.0,347397,80.0,50,13,2018,0.0,0.0,2.0,3.0
931,2020-05-04,1256539,335345.76,500907.00,HIDDEN,Canceled per Order,,,6.0,5.0,4077.0,15625.0,687620,61.0,50,7,2017,0.0,0.0,3.0,2.0
932,2020-05-04,1256161,101894.89,233673.00,HIDDEN,Canceled per County,,,3.0,2.0,2080.0,7500.0,335624,69.0,50,43,2019,0.0,0.0,3.0,4.0
933,2020-05-04,1256808,547132.41,112419.00,HIDDEN,Canceled per County,,,2.0,2.0,1563.0,6250.0,599561,81.0,50,37,2019,0.0,0.0,6.0,3.0
934,2020-05-04,1255706,309125.95,246824.00,HIDDEN,Canceled per County,,,2.0,1.0,1055.0,11819.34,266834,89.0,50,14,2018,0.0,0.0,10.0,3.0
935,2020-05-04,1256297,216211.06,230199.00,HIDDEN,Canceled per Order,,,1.0,1.0,1066.0,0.0,272520,139.0,50,6,2017,0.0,1.0,3.0,5.0
936,2020-05-04,1255918,102020.97,146582.00,HIDDEN,Canceled per Order,,,2.0,1.0,1354.0,3045.0,265459,130.0,50,5,2015,0.0,1.0,4.0,7.0
937,2020-05-04,1256809,110065.78,85190.00,HIDDEN,Canceled per Order,,,1.0,1.0,850.0,0.0,0,52.0,50,35,2019,0.0,1.0,2.0,1.0
938,2020-05-04,1258375,348517.10,228433.00,HIDDEN,Canceled per County,,,3.0,2.0,2043.0,10133.1,483825,52.0,50,38,2019,0.0,0.0,4.0,2.0
939,2020-05-04,1256830,374965.80,179164.00,HIDDEN,Canceled per Order,,,1.0,1.0,848.0,0.0,244712,108.0,50,41,2019,0.0,1.0,7.0,1.0
940,2020-05-04,1257704,338860.86,320076.00,HIDDEN,Canceled per County,,,6.0,4.0,3572.0,7501.0,444154,108.0,50,40,2019,0.0,1.0,5.0,2.0
941,2020-05-04,1248811,197435.29,101904.00,HIDDEN,Canceled per Order,,,3.0,1.0,1794.0,8640.0,207233,158.0,50,9,2017,0.0,0.0,9.0,1.0
942,2020-05-04,1252885,945980.74,1004442.00,HIDDEN,Canceled per Order,,,3.0,2.0,4437.0,34412.0,1377871,40.0,50,42,2019,0.0,0.0,2.0,1.0
943,2020-05-04,1255938,69189.71,136054.00,HIDDEN,Canceled per Order,,,3.0,1.0,840.0,7500.0,210069,106.0,50,20,2018,0.0,1.0,5.0,4.0
944,2020-05-04,1255881,503752.88,177710.00,HIDDEN,Canceled per Order,,,4.0,2.0,1890.0,8172.0,404244,81.0,50,26,2018,0.0,1.0,6.0,3.0
945,2020-05-04,1255861,340529.26,178919.00,HIDDEN,Canceled per County,,,3.0,2.0,1658.0,9000.0,0,138.0,50,11,2018,0.0,0.0,3.0,3.0
946,2020-05-04,1257180,533029.65,635276.00,HIDDEN,Canceled per Order,,,6.0,4.0,4511.0,42427.44,1373281,156.0,50,3,2012,0.0,0.0,5.0,2.0
947,2020-05-04,1256185,299542.57,197000.00,HIDDEN,Canceled per County,,,1.0,1.0,684.0,0.0,218833,60.0,50,34,2019,0.0,1.0,4.0,2.0
948,2020-05-04,1249565,394209.31,414174.00,HIDDEN,Canceled per Order,,,2.0,2.0,1164.0,0.0,524210,46.0,50,28,2019,0.0,1.0,3.0,1.0
949,2020-05-04,1253007,149598.75,213459.00,HIDDEN,Canceled per Order,,,3.0,1.0,1458.0,9187.5,301249,49.0,50,44,2019,0.0,0.0,6.0,1.0
950,2020-05-04,1255836,157283.75,206777.00,HIDDEN,Canceled per Order,,,3.0,2.0,1943.0,10600.0,319215,92.0,50,39,2019,0.0,1.0,2.0,3.0
951,2020-05-04,1248817,164657.62,48058.00,HIDDEN,Canceled per Order,,,2.0,2.0,1116.0,1587.0,247699,93.0,50,31,2019,0.0,1.0,4.0,1.0
952,2020-05-04,1253027,474714.73,167425.00,HIDDEN,Canceled per Order,,,3.0,2.0,1763.0,5625.0,392934,87.0,50,29,2019,0.0,0.0,6.0,3.0
953,2020-05-04,1254551,98983.75,287092.00,HIDDEN,Canceled per Order,,,2.0,1.0,1096.0,8175.0,534335,71.0,50,30,2019,0.0,1.0,4.0,3.0
954,2020-05-04,1258374,278559.93,114139.00,HIDDEN,Canceled per Order,,,2.0,1.0,1734.0,10575.0,370238,84.0,50,32,2019,0.0,0.0,6.0,4.0
955,2020-05-04,1256857,272958.24,182852.00,HIDDEN,Canceled per County,,,3.0,2.0,1769.0,7050.0,295262,33.0,50,50,2019,0.0,1.0,5.0,1.0
956,2020-05-04,1256952,23856.39,61827.00,HIDDEN,Canceled per Order,,,2.0,2.0,1130.0,0.0,135029,52.0,50,46,2019,0.0,1.0,1.0,1.0
957,2020-05-04,1252437,312265.57,161649.00,HIDDEN,Canceled per Order,,,2.0,2.0,1422.0,16250.0,351745,115.0,50,1,2007,0.0,0.0,10.0,2.0
958,2020-05-04,1256387,255131.86,94489.00,HIDDEN,Canceled per County,,,3.0,2.0,1412.0,5650.0,313981,81.0,50,2,2012,0.0,0.0,3.0,3.0
959,2020-05-04,1255924,496359.23,282338.00,HIDDEN,Canceled per Order,,,2.0,1.0,1421.0,7696.0,391668,94.0,50,12,2018,0.0,1.0,3.0,4.0
960,2020-05-04,1256352,193321.49,98542.00,HIDDEN,Canceled per Order,,,2.0,1.0,1201.0,6000.0,258870,67.0,50,47,2019,0.0,1.0,2.0,3.0
961,2020-05-04,1256858,243993.94,158258.00,HIDDEN,Canceled per Order,,,3.0,2.0,1367.0,4800.0,292624,48.0,50,45,2019,0.0,0.0,4.0,1.0
962,2020-05-04,1252427,252737.07,124460.00,HIDDEN,Canceled per Order,,,3.0,2.0,2142.0,7851.0,325404,158.0,50,4,2015,0.0,0.0,5.0,6.0
963,2020-05-04,1256282,139499.32,140089.00,HIDDEN,Canceled per County,,,3.0,2.0,1040.0,0.0,189119,131.0,50,25,2018,0.0,1.0,7.0,4.0
964,2020-05-04,1257845,15947.76,27933.00,HIDDEN,Canceled per Order,,,1.0,1.0,850.0,0.0,81641,98.0,50,33,2019,0.0,1.0,7.0,2.0
966,2020-05-04,1252439,201611.07,222019.00,HIDDEN,Canceled per County,,,3.0,1.0,1566.0,5482.5,385274,50.0,50,24,2018,0.0,0.0,2.0,2.0
967,2020-05-04,1255923,254260.73,74563.00,HIDDEN,Canceled per Order,,,2.0,1.0,1197.0,7500.0,292189,44.0,50,49,2019,0.0,0.0,3.0,2.0
968,2020-05-04,1255841,416099.89,260879.00,HIDDEN,Canceled per Order,,,0.0,1.0,1071.0,217800.0,369936,39.0,50,48,2019,0.0,0.0,2.0,1.0
969,2020-04-29,1256283,444513.15,165925.00,HIDDEN,Canceled per County,,,4.0,3.0,2290.0,7700.0,428656,265.0,5,2,2015,0.0,1.0,3.0,6.0
970,2020-04-29,1257733,251544.08,205200.00,HIDDEN,Canceled per Order,,,2.0,2.0,1183.0,0.0,266647,46.0,5,5,2019,0.0,1.0,12.0,1.0
971,2020-04-29,1255009,1194662.13,310421.00,HIDDEN,Canceled per Order,,,3.0,3.0,3187.0,9125.0,1007945,287.0,5,1,2011,0.0,0.0,5.0,2.0
972,2020-04-29,1258404,277489.73,107720.00,HIDDEN,Canceled per Order,,,2.0,1.0,1130.0,0.0,122102,127.0,5,3,2016,0.0,1.0,5.0,3.0
973,2020-04-29,1251867,238939.37,174137.00,HIDDEN,Canceled per County,,,4.0,2.0,1572.0,8879.2,293503,94.0,5,4,2018,0.0,0.0,6.0,2.0
974,2020-04-28,1252453,326748.38,166470.00,HIDDEN,Canceled per Order,,,3.0,2.0,1204.0,9525.0,421084,47.0,11,8,2019,0.0,0.0,4.0,1.0
975,2020-04-28,1252467,248934.30,183923.00,HIDDEN,Canceled per County,,,4.0,2.0,1212.0,7500.0,306340,113.0,11,4,2018,0.0,0.0,3.0,1.0
976,2020-04-28,1239886,324322.18,74056.00,HIDDEN,Canceled per County,,,2.0,1.0,1166.0,6250.0,282430,236.0,11,1,2009,0.0,0.0,10.0,1.0
977,2020-04-28,1252242,35663.00,124895.00,HIDDEN,Canceled per County,,,1.0,1.0,784.0,0.0,173007,54.0,11,11,2019,0.0,1.0,8.0,2.0
979,2020-04-28,1252294,270787.32,149031.00,HIDDEN,Canceled per Order,,,3.0,2.0,2001.0,20839.0,374798,166.0,11,2,2016,0.0,0.0,5.0,1.0
981,2020-04-28,1252279,371343.43,314667.00,HIDDEN,Canceled per Order,,,5.0,3.0,3830.0,9523.0,447299,106.0,11,10,2019,0.0,1.0,14.0,2.0
982,2020-04-28,1258550,328610.00,149018.00,HIDDEN,Canceled per Order,,,2.0,1.0,944.0,5400.0,265104,221.0,11,5,2018,0.0,1.0,3.0,3.0
983,2020-04-28,1251632,373529.68,312247.00,HIDDEN,Canceled per Order,,,4.0,4.0,2990.0,5000.0,397274,79.0,11,7,2018,0.0,1.0,4.0,5.0
984,2020-04-28,1252460,573512.05,223474.00,HIDDEN,Canceled per County,,,4.0,2.0,1667.0,5000.0,326136,135.0,11,3,2017,0.0,0.0,5.0,2.0
985,2020-04-27,1255550,43121.48,72931.00,HIDDEN,Canceled per Order,,,3.0,2.0,1126.0,6950.0,257028,118.0,39,31,2019,0.0,0.0,8.0,2.0
986,2020-04-27,1257476,325014.47,77094.00,HIDDEN,Canceled per County,,,2.0,1.0,1100.0,5700.0,301192,60.0,39,17,2018,0.0,1.0,2.0,1.0
987,2020-04-27,1257026,337103.51,169667.00,HIDDEN,Canceled per County,,,3.0,2.0,1612.0,7500.0,423620,143.0,39,1,2013,0.0,1.0,2.0,7.0
988,2020-04-27,1254205,215873.27,160398.00,HIDDEN,Other,,,2.0,2.0,1593.0,1397.0,276573,122.0,39,16,2018,,1.0,4.0,4.0
989,2020-04-27,1251887,445712.45,210823.00,HIDDEN,Canceled per County,,,5.0,3.0,2233.0,5961.0,328048,153.0,39,15,2018,0.0,0.0,5.0,2.0
990,2020-04-27,1253877,246807.89,381433.00,HIDDEN,Canceled per Order,,,2.0,2.0,1256.0,5000.0,585526,84.0,39,26,2018,0.0,0.0,4.0,5.0
991,2020-04-27,1254583,271389.99,125560.00,HIDDEN,Canceled per County,,,2.0,1.0,1199.0,5000.0,0,93.0,39,25,2018,0.0,1.0,11.0,2.0
992,2020-04-27,1255450,312642.46,109148.00,HIDDEN,Canceled per County,,,3.0,1.0,988.0,3700.0,0,100.0,39,24,2018,0.0,1.0,2.0,3.0
993,2020-04-27,1254338,88149.07,122372.00,HIDDEN,Canceled per Order,,,3.0,2.0,1165.0,5000.0,125135,124.0,39,13,2017,0.0,0.0,8.0,2.0
994,2020-04-27,1254555,689343.38,379790.00,HIDDEN,Canceled per Order,,,4.0,2.0,3546.0,15633.0,605283,104.0,39,14,2017,0.0,1.0,1.0,3.0
995,2020-04-27,1257168,703345.01,214532.00,HIDDEN,Canceled per County,,,5.0,3.0,2710.0,5250.0,380730,74.0,39,27,2018,0.0,1.0,5.0,4.0
996,2020-04-27,1257735,452395.44,283544.00,HIDDEN,Canceled per Order,,,3.0,2.0,1598.0,4253.0,361355,54.0,39,30,2019,0.0,0.0,4.0,1.0
997,2020-04-27,1257471,421692.06,242768.00,HIDDEN,Canceled per County,,,1.0,1.0,1005.0,0.0,309190,87.0,39,12,2017,0.0,1.0,3.0,4.0
999,2020-04-27,1251582,334202.64,157407.00,HIDDEN,Canceled per County,,,2.0,2.0,1590.0,8347.0,255726,126.0,39,11,2017,0.0,1.0,4.0,1.0
1000,2020-04-27,1256296,12971.27,172497.00,HIDDEN,Canceled per Order,,,3.0,2.0,1035.0,30100.0,289630,196.0,39,22,2018,0.0,0.0,3.0,4.0
1001,2020-04-27,1257021,470041.51,146640.00,HIDDEN,Canceled per County,,,3.0,2.0,1333.0,6330.0,341504,136.0,39,6,2016,0.0,1.0,4.0,3.0
1002,2020-04-27,1255300,181828.92,68051.00,HIDDEN,Canceled per Order,,,2.0,1.0,1318.0,5550.0,258760,90.0,39,5,2015,0.0,0.0,3.0,1.0
1003,2020-04-27,1251614,166218.94,70600.00,HIDDEN,Canceled per Order,,,2.0,2.0,931.0,0.0,105533,75.0,39,28,2018,0.0,1.0,3.0,2.0
1004,2020-04-27,1255452,43451.20,98481.00,HIDDEN,Canceled per County,,,3.0,2.0,1061.0,2996.0,283421,53.0,39,33,2019,0.0,1.0,6.0,3.0
1005,2020-04-27,1240183,729095.01,320158.00,HIDDEN,Canceled per County,,,4.0,2.0,1909.0,16048.0,549437,92.0,39,23,2018,0.0,1.0,4.0,2.0
1006,2020-04-27,1256525,1780096.53,741223.00,HIDDEN,Canceled per Order,,,0.0,10.0,10293.0,32250.0,0,99.0,39,35,2019,0.0,0.0,3.0,1.0
1007,2020-04-27,1254215,108725.52,273598.00,HIDDEN,Canceled per Order,,,2.0,1.0,1795.0,7150.0,382723,123.0,39,3,2014,0.0,0.0,6.0,3.0
1008,2020-04-27,1250782,544464.74,334683.00,HIDDEN,Canceled per County,,,2.0,2.0,1105.0,0.0,397391,127.0,39,10,2017,0.0,1.0,4.0,1.0
1009,2020-04-27,1253516,240280.47,119539.00,HIDDEN,Canceled per Order,,,3.0,2.0,1298.0,3667.0,327664,123.0,39,19,2018,0.0,0.0,6.0,6.0
1010,2020-04-27,1255226,184290.88,62791.00,HIDDEN,Canceled per Order,,,4.0,2.0,1200.0,7500.0,286532,75.0,39,21,2018,0.0,0.0,2.0,2.0
1011,2020-04-27,1255843,525996.96,359164.00,HIDDEN,Canceled per Order,,,0.0,0.0,3278.0,13400.0,0,76.0,39,20,2018,0.0,1.0,4.0,2.0
1012,2020-04-27,1257477,196282.19,166948.00,HIDDEN,Canceled per Order,,,3.0,2.0,1392.0,10500.0,321480,46.0,39,39,2019,0.0,1.0,3.0,1.0
1013,2020-04-27,1257307,270170.81,185511.00,HIDDEN,Canceled per Order,,,3.0,1.0,1176.0,7400.0,266407,42.0,39,32,2019,0.0,0.0,1.0,1.0
1014,2020-04-27,1256195,600735.30,586000.00,HIDDEN,Canceled per Order,,,3.0,2.0,1461.0,0.0,662939,68.0,39,36,2019,0.0,1.0,6.0,1.0
1015,2020-04-27,1251494,797587.79,441841.00,HIDDEN,Canceled per Order,,,4.0,4.0,3053.0,6933.0,520222,112.0,39,29,2018,0.0,0.0,7.0,2.0
1016,2020-04-27,1255394,734587.06,711774.00,HIDDEN,Canceled per Order,,,5.0,5.0,3690.0,5167.0,0,52.0,39,34,2019,0.0,1.0,3.0,2.0
1017,2020-04-27,1249822,390588.05,376559.00,HIDDEN,Canceled per County,,,3.0,2.0,1915.0,27100.0,497291,80.0,39,8,2017,0.0,1.0,4.0,2.0
1018,2020-04-27,1257336,216131.27,145621.00,HIDDEN,Canceled per Order,,,4.0,2.0,2327.0,4750.0,297640,110.0,39,9,2017,0.0,1.0,3.0,6.0
1019,2020-04-27,1256382,661440.60,191133.00,HIDDEN,Canceled per County,,,3.0,1.0,2378.0,9450.0,350138,153.0,39,4,2015,0.0,1.0,19.0,1.0
1020,2020-04-27,1249812,355122.77,224919.00,HIDDEN,Canceled per Order,,,5.0,3.0,2423.0,7980.0,0,126.0,39,2,2014,0.0,0.0,2.0,1.0
1021,2020-04-27,1256518,106477.22,52965.00,HIDDEN,Canceled per County,,,1.0,1.0,836.0,0.0,67432,91.0,39,18,2018,0.0,1.0,7.0,1.0
1022,2020-04-27,1255722,412539.42,70880.00,HIDDEN,Canceled per Order,,,2.0,1.0,1600.0,6000.0,0,49.0,39,37,2019,0.0,0.0,3.0,1.0
1023,2020-04-27,1252304,251378.62,212881.00,HIDDEN,Canceled per County,,,3.0,2.0,1697.0,12750.0,369618,52.0,39,38,2019,0.0,0.0,4.0,1.0
1024,2020-04-22,1257454,240497.91,162799.00,HIDDEN,Canceled per County,,,2.0,2.0,1680.0,5494.0,227798,95.0,27,21,2019,0.0,1.0,7.0,3.0
1025,2020-04-22,1257690,27764.99,128281.00,HIDDEN,Canceled per Order,,,1.0,1.0,958.0,0.0,192519,103.0,27,9,2017,0.0,1.0,1.0,4.0
1026,2020-04-22,1257018,636095.64,140148.00,HIDDEN,Canceled per County,,,2.0,2.0,922.0,0.0,213373,73.0,27,10,2017,0.0,1.0,4.0,4.0
1027,2020-04-22,1257170,337023.86,126217.00,HIDDEN,Canceled per Order,,,3.0,2.0,1453.0,15006.0,325762,83.0,27,11,2017,0.0,0.0,1.0,2.0
1028,2020-04-22,1256337,270171.12,71231.00,HIDDEN,Canceled per Order,,,4.0,2.0,1380.0,6000.0,0,167.0,27,8,2017,0.0,0.0,4.0,9.0
1029,2020-04-22,1257012,231894.96,196493.00,HIDDEN,Canceled per County,,,4.0,2.0,2491.0,5736.0,351267,97.0,27,19,2018,0.0,1.0,6.0,5.0
1030,2020-04-22,1257456,456879.10,242886.00,HIDDEN,Canceled per County,,,2.0,1.0,1752.0,6250.0,396634,89.0,27,16,2018,0.0,1.0,5.0,2.0
1031,2020-04-22,1257368,78298.70,66000.00,HIDDEN,Canceled per Order,,,2.0,2.0,1208.0,0.0,195082,90.0,27,17,2018,0.0,1.0,10.0,3.0
1032,2020-04-22,1257378,536334.18,482185.00,HIDDEN,Canceled per Order,,,2.0,2.0,1410.0,0.0,623134,72.0,27,18,2018,0.0,1.0,2.0,3.0
1033,2020-04-22,1257524,224376.46,200000.00,HIDDEN,Canceled per County,,,3.0,2.0,1284.0,0.0,253993,72.0,27,25,2019,0.0,1.0,4.0,2.0
1034,2020-04-22,1257846,59200.83,52642.00,HIDDEN,Canceled per County,,,2.0,2.0,812.0,0.0,166464,141.0,27,22,2019,0.0,1.0,15.0,2.0
1035,2020-04-22,1256206,3897629.90,2991584.00,HIDDEN,Canceled per Order,,,5.0,5.0,6845.0,18905.0,3026099,81.0,27,24,2019,0.0,1.0,5.0,2.0
1036,2020-04-22,1257474,553864.21,321537.00,HIDDEN,Canceled per Order,,,2.0,2.0,1330.0,9800.0,528975,200.0,27,5,2016,0.0,0.0,2.0,6.0
1037,2020-04-22,1251207,402685.14,332169.00,HIDDEN,Canceled per County,,,4.0,3.0,2080.0,6008.0,456270,184.0,27,4,2015,0.0,0.0,6.0,3.0
1038,2020-04-22,1257748,17971.95,110864.00,HIDDEN,Canceled per Order,,,2.0,2.0,1282.0,0.0,335788,82.0,27,7,2017,0.0,1.0,1.0,5.0
1039,2020-04-22,1256553,282920.46,147295.00,HIDDEN,Canceled per County,,,3.0,2.0,1250.0,6300.0,288696,296.0,27,1,2010,0.0,0.0,6.0,2.0
1040,2020-04-22,1254866,1224661.88,522542.00,HIDDEN,Canceled per County,,,2.0,1.0,2664.0,14595.0,1219363,60.0,27,26,2019,0.0,1.0,5.0,2.0
1041,2020-04-22,1257195,294526.39,177287.00,HIDDEN,Canceled per Order,,,3.0,2.0,1593.0,8900.0,425322,76.0,27,12,2017,0.0,0.0,4.0,4.0
1043,2020-04-22,1257842,269986.47,148077.00,HIDDEN,Canceled per Order,,,6.0,4.0,2204.0,7992.0,380737,62.0,27,20,2019,0.0,0.0,4.0,2.0
1044,2020-04-22,1256540,0.00,55453.00,HIDDEN,Canceled per County,,,3.0,3.0,1500.0,0.0,276555,41.0,27,23,2019,0.0,0.0,5.0,2.0
1045,2020-04-22,1257843,361092.54,143517.00,HIDDEN,Canceled per County,,,3.0,2.0,1404.0,3320.0,345809,97.0,27,13,2018,0.0,1.0,2.0,8.0
1046,2020-04-22,1256396,365309.77,112494.00,HIDDEN,Canceled per County,,,3.0,2.0,1450.0,5160.0,249971,203.0,27,2,2011,0.0,0.0,19.0,4.0
1047,2020-04-22,1253850,899605.92,302064.00,HIDDEN,Canceled per Order,,,0.0,0.0,4872.0,0.0,0,143.0,27,3,2015,0.0,0.0,3.0,1.0
1048,2020-04-22,1250832,297219.59,178636.00,HIDDEN,Canceled per County,,,3.0,2.0,1728.0,6007.0,373009,56.0,27,27,2019,0.0,0.0,6.0,1.0
1049,2020-04-22,1257150,576725.66,269806.00,HIDDEN,Canceled per Order,,,3.0,1.0,1633.0,7500.0,401653,66.0,27,14,2018,0.0,0.0,4.0,5.0
1050,2020-04-22,1257487,518635.93,552998.00,HIDDEN,Canceled per County,,,1.0,1.0,3869.0,16380.0,832383,85.0,27,6,2016,0.0,1.0,4.0,4.0
1051,2020-04-21,1255920,3127729.22,1406336.00,HIDDEN,Canceled per Order,,,4.0,4.0,5409.0,10892.0,2070979,275.0,12,2,2012,0.0,1.0,12.0,1.0
1052,2020-04-21,1254969,372607.27,292594.00,HIDDEN,Canceled per Order,,,4.0,2.0,2188.0,21708.0,427220,166.0,12,6,2016,0.0,0.0,2.0,5.0
1053,2020-04-21,1253910,502127.58,121170.00,HIDDEN,Canceled per Order,,,3.0,2.0,1459.0,0.0,312712,68.0,12,9,2018,0.0,1.0,5.0,1.0
1054,2020-04-21,1254826,237800.28,133944.00,HIDDEN,Canceled per Order,,,4.0,2.0,1651.0,7676.0,284441,132.0,12,5,2016,0.0,1.0,13.0,3.0
1055,2020-04-21,1254738,410968.46,159352.00,HIDDEN,Canceled per County,,,4.0,3.0,2190.0,7150.0,330604,189.0,12,1,2009,0.0,0.0,4.0,5.0
1056,2020-04-21,1256992,5554.88,250000.00,HIDDEN,Canceled per Order,,,3.0,2.0,1683.0,1495.0,330094,77.0,12,8,2017,0.0,1.0,3.0,2.0
1057,2020-04-21,1254893,192757.71,112251.00,HIDDEN,Canceled per Order,,,4.0,2.0,1798.0,9188.0,354706,178.0,12,3,2013,0.0,1.0,3.0,6.0
1058,2020-04-21,1254970,632286.50,682732.00,HIDDEN,Canceled per Order,,,2.0,2.0,1152.0,0.0,0,77.0,12,12,2019,0.0,1.0,5.0,3.0
1059,2020-04-21,1254894,136410.82,176330.00,HIDDEN,Canceled per Order,,,4.0,2.0,1462.0,7500.0,308196,46.0,12,11,2019,0.0,0.0,1.0,2.0
1060,2020-04-21,1254825,414039.02,191021.00,HIDDEN,Canceled per Order,,,3.0,2.0,1452.0,8250.0,389003,99.0,12,7,2016,0.0,0.0,3.0,3.0
1061,2020-04-21,1255858,328063.12,209000.00,HIDDEN,Canceled per County,,,3.0,2.0,1178.0,3598.0,289840,62.0,12,10,2019,0.0,1.0,5.0,3.0
1062,2020-04-21,1251583,197332.85,123601.00,HIDDEN,Canceled per Order,,,2.0,2.0,996.0,0.0,0,137.0,12,4,2016,0.0,1.0,6.0,4.0
1063,2020-04-20,1255847,174066.95,75970.00,HIDDEN,Canceled per County,,,0.0,1.0,379.0,0.0,0,85.0,36,28,2019,0.0,1.0,4.0,3.0
1064,2020-04-20,1243787,485837.72,252158.00,HIDDEN,Canceled per County,,,3.0,2.0,1843.0,34797.0,388564,94.0,36,11,2017,0.0,0.0,2.0,1.0
1065,2020-04-20,1251892,211657.73,158293.00,HIDDEN,Canceled per Order,,,3.0,2.0,1567.0,10200.0,264872,107.0,36,26,2019,0.0,0.0,6.0,4.0
1066,2020-04-20,1248022,37219.75,217549.00,HIDDEN,Canceled per Order,,,4.0,3.0,2811.0,9212.0,516176,53.0,36,25,2019,0.0,0.0,1.0,1.0
1067,2020-04-20,1256815,22489.20,63429.00,HIDDEN,Canceled per Order,,,3.0,2.0,1185.0,0.0,168850,24.0,36,33,2019,0.0,1.0,1.0,1.0
1068,2020-04-20,1242921,26750.06,136650.00,HIDDEN,Canceled per County,,,3.0,1.0,960.0,11538.0,0,103.0,36,24,2019,0.0,0.0,10.0,2.0
1069,2020-04-20,1257640,260174.67,134300.00,HIDDEN,Canceled per Order,,,2.0,1.0,1145.0,6250.0,297323,51.0,36,22,2018,0.0,1.0,1.0,1.0
1070,2020-04-20,1244896,175648.61,198905.00,HIDDEN,Canceled per County,,,5.0,2.0,1734.0,7500.0,385150,137.0,36,27,2019,0.0,0.0,3.0,6.0
1071,2020-04-20,1256284,70211.40,78560.00,HIDDEN,Canceled per Order,,,3.0,1.0,1338.0,6600.0,294999,67.0,36,31,2019,0.0,1.0,2.0,2.0
1072,2020-04-20,1257334,5534441.36,3975382.00,HIDDEN,Canceled per Order,,,5.0,5.0,11684.0,51836.0,0,142.0,36,10,2017,0.0,1.0,4.0,5.0
1073,2020-04-20,1256944,235990.85,90885.00,HIDDEN,Canceled per Order,,,3.0,2.0,1260.0,7875.0,279473,61.0,36,32,2019,0.0,0.0,3.0,1.0
1074,2020-04-20,1257725,265302.28,131937.00,138750.00,Canceled per Order,,,2.0,1.0,1000.0,0.0,0,89.0,36,29,2019,0.0,1.0,4.0,2.0
1075,2020-04-20,1256816,372181.87,354832.00,HIDDEN,Canceled per Order,,,2.0,3.0,1663.0,0.0,428575,76.0,36,30,2019,0.0,1.0,2.0,1.0
1076,2020-04-20,1255926,955186.65,644800.00,955186.65,Canceled per Order,,,2.0,2.0,1042.0,0.0,919548,140.0,36,12,2018,0.0,1.0,5.0,2.0
1077,2020-04-20,1255298,283631.00,161048.00,HIDDEN,Canceled per Order,,,3.0,2.0,1676.0,7500.0,438191,87.0,36,13,2018,0.0,0.0,3.0,5.0
1078,2020-04-20,1250112,319989.89,242618.00,HIDDEN,Canceled per County,,,3.0,2.0,1300.0,3939.0,374568,95.0,36,14,2018,0.0,1.0,6.0,3.0
1079,2020-04-20,1257039,520322.74,288047.00,HIDDEN,Canceled per Order,,,4.0,2.0,1921.0,5000.0,418064,82.0,36,15,2018,0.0,1.0,2.0,1.0
1080,2020-04-20,1243422,495542.22,420729.00,HIDDEN,Canceled per County,,,2.0,2.0,1865.0,0.0,505138,134.0,36,16,2018,0.0,1.0,15.0,2.0
1081,2020-04-20,1257849,202949.62,222926.00,HIDDEN,Canceled per County,,,3.0,3.0,2031.0,7490.6,355266,111.0,36,18,2018,0.0,0.0,7.0,5.0
1082,2020-04-20,1252839,695570.78,502103.00,HIDDEN,Canceled per County,,,4.0,3.0,2565.0,15010.0,695454,83.0,36,21,2018,0.0,1.0,3.0,2.0
1083,2020-04-20,1257732,75107.22,230199.00,HIDDEN,Canceled per Order,,,1.0,1.0,1066.0,0.0,272520,49.0,36,3,2016,0.0,1.0,1.0,1.0
1084,2020-04-20,1258385,173721.25,109902.00,HIDDEN,Canceled per Order,,,2.0,2.0,1222.0,0.0,162577,33.0,36,34,2019,0.0,1.0,4.0,1.0
1085,2020-04-20,1248441,539489.84,257748.00,HIDDEN,Canceled per County,,,3.0,2.0,1830.0,7614.0,395238,67.0,36,19,2018,0.0,0.0,3.0,2.0
1086,2020-04-20,1256191,261005.71,255942.00,HIDDEN,Canceled per Order,,,3.0,2.0,1463.0,7800.0,390237,94.0,36,20,2018,0.0,0.0,4.0,3.0
1087,2020-04-20,1247841,155540.88,331724.00,HIDDEN,Canceled per County,,,4.0,3.0,2272.0,7321.0,450464,145.0,36,5,2016,0.0,1.0,6.0,8.0
1088,2020-04-20,1246431,265544.93,158070.00,HIDDEN,Canceled per County,,,3.0,2.0,1882.0,5300.0,305393,180.0,36,9,2017,0.0,0.0,10.0,4.0
1089,2020-04-20,1247653,285271.49,201576.00,HIDDEN,Canceled per Order,,,3.0,1.0,1400.0,7500.0,275143,86.0,36,17,2018,0.0,0.0,5.0,2.0
1090,2020-04-20,1255957,702000.24,198743.00,HIDDEN,Canceled per Order,,,2.0,1.0,1981.0,6300.0,537111,81.0,36,7,2016,0.0,0.0,8.0,3.0
